HKG, SIN, SEA, NRT, KIX

3232235777
128.0.0.0
1745879040 1048576
104.16.128.0 	 colo=HKG
104.16.128.64 	 colo=HKG
104.16.129.64 	 colo=HKG
104.16.128.192 	 colo=HKG
104.16.128.128 	 colo=HKG
104.16.119.64 	 colo=HKG
104.16.129.192 	 colo=HKG
104.16.130.64 	 colo=HKG
104.16.106.0 	 colo=HKG
104.16.105.0 	 
104.16.130.192 	 colo=HKG
104.16.131.64 	 colo=HKG
104.16.132.0 	 colo=HKG
104.16.120.128 	 colo=HKG
104.16.107.0 	 
104.16.132.128 	 colo=HKG
104.16.123.0 	 colo=HKG
104.16.131.192 	 colo=HKG
104.16.109.0 	 
104.16.132.64 	 colo=HKG
104.16.124.128 	 colo=HKG
104.16.133.0 	 colo=HKG
104.16.109.128 	 
104.16.125.64 	 colo=HKG
104.16.133.192 	 colo=HKG
104.16.134.192 	 colo=HKG
104.16.135.0 	 colo=HKG
104.16.135.64 	 colo=HKG
104.16.110.128 	 
104.16.126.64 	 colo=HKG
104.16.135.192 	 colo=HKG
104.16.136.64 	 colo=HKG
104.16.133.64 	 colo=HKG
104.16.135.128 	 colo=HKG
104.16.134.64 	 colo=HKG
104.16.127.0 	 colo=HKG
104.16.102.64 	 
104.16.136.0 	 colo=HKG
104.16.137.128 	 colo=HKG
104.16.137.0 	 colo=HKG
104.16.138.192 	 colo=HKG
104.16.129.128 	 colo=HKG
104.16.129.0 	 colo=HKG
104.16.139.0 	 colo=HKG
104.16.120.64 	 colo=HKG
104.16.140.0 	 colo=HKG
104.16.139.64 	 colo=HKG
104.16.139.192 	 colo=HKG
104.16.140.64 	 colo=HKG
104.16.141.64 	 colo=HKG
104.16.131.128 	 colo=HKG
104.16.141.128 	 colo=HKG
104.16.132.192 	 colo=HKG
104.16.142.0 	 colo=HKG
104.16.142.128 	 colo=HKG
104.16.126.0 	 colo=HKG
104.16.141.192 	 colo=HKG
104.16.142.192 	 colo=HKG
104.16.134.128 	 colo=HKG
104.16.143.192 	 colo=HKG
104.16.138.0 	 colo=HKG
104.16.118.128 	 
104.16.119.0 	 
104.16.136.192 	 colo=HKG
104.16.143.64 	 colo=HKG
104.16.133.128 	 colo=HKG
104.16.144.128 	 colo=HKG
104.16.145.0 	 colo=HKG
104.16.138.64 	 colo=HKG
104.16.145.192 	 colo=HKG
104.16.145.64 	 colo=HKG
104.16.144.0 	 colo=HKG
104.16.122.128 	 colo=HKG
104.16.144.192 	 colo=HKG
104.16.130.128 	 colo=HKG
104.16.121.64 	 
104.16.137.64 	 colo=HKG
104.16.121.192 	 
104.16.146.192 	 colo=HKG
104.16.146.0 	 colo=HKG
104.16.148.128 	 colo=HKG
104.16.148.192 	 colo=HKG
104.16.147.128 	 colo=HKG
104.16.123.192 	 
104.16.114.128 	 
104.16.141.0 	 colo=HKG
104.16.142.64 	 colo=HKG
104.16.147.0 	 colo=HKG
104.16.140.128 	 colo=HKG
104.16.149.192 	 colo=HKG
104.16.150.0 	 colo=HKG
104.16.147.64 	 colo=HKG
104.16.150.128 	 colo=HKG
104.16.151.64 	 colo=HKG
104.16.151.0 	 colo=HKG
104.16.125.192 	 
104.16.150.192 	 colo=HKG
104.16.152.128 	 colo=HKG
104.16.134.0 	 colo=HKG
104.16.153.0 	 colo=HKG
104.16.152.192 	 colo=HKG
104.16.153.192 	 colo=HKG
104.16.127.64 	 
104.16.153.64 	 colo=HKG
104.16.154.64 	 colo=HKG
104.16.152.64 	 colo=HKG
104.16.155.0 	 colo=HKG
104.16.154.0 	 colo=HKG
104.16.118.192 	 
104.16.156.0 	 colo=HKG
104.16.149.0 	 colo=HKG
104.16.153.128 	 colo=HKG
104.16.149.64 	 colo=HKG
104.16.137.192 	 colo=HKG
104.16.130.0 	 
104.16.155.192 	 colo=HKG
104.16.157.64 	 colo=HKG
104.16.146.128 	 colo=HKG
104.16.158.64 	 colo=HKG
104.16.151.128 	 colo=HKG
104.16.157.192 	 colo=HKG
104.16.156.192 	 colo=HKG
104.16.159.64 	 colo=HKG
104.16.150.64 	 colo=HKG
104.16.159.192 	 colo=HKG
104.16.151.192 	 colo=HKG
104.16.160.0 	 colo=HKG
104.16.160.192 	 colo=HKG
104.16.161.0 	 colo=HKG
104.16.160.64 	 colo=HKG
104.16.136.128 	 
104.16.143.0 	 colo=HKG
104.16.154.128 	 colo=HKG
104.16.155.64 	 colo=HKG
104.16.162.64 	 colo=HKG
104.16.163.0 	 colo=HKG
104.16.156.128 	 colo=HKG
104.16.139.128 	 
104.16.159.0 	 colo=HKG
104.16.163.64 	 colo=HKG
104.16.157.0 	 colo=HKG
104.16.163.192 	 colo=HKG
104.16.157.128 	 colo=HKG
104.16.144.64 	 colo=HKG
104.16.158.0 	 colo=HKG
104.16.164.128 	 colo=HKG
104.16.164.192 	 colo=HKG
104.16.164.0 	 colo=HKG
104.16.165.0 	 colo=HKG
104.16.164.64 	 colo=HKG
104.16.131.0 	 
104.16.163.128 	 colo=HKG
104.16.166.0 	 colo=HKG
104.16.166.192 	 colo=HKG
104.16.167.0 	 colo=HKG
104.16.158.192 	 colo=HKG
104.16.167.192 	 colo=HKG
104.16.168.64 	 colo=HKG
104.16.166.128 	 colo=HKG
104.16.159.128 	 colo=HKG
104.16.167.64 	 colo=HKG
104.16.160.128 	 colo=HKG
104.16.169.0 	 colo=HKG
104.16.143.128 	 
104.16.169.128 	 colo=HKG
104.16.162.0 	 colo=HKG
104.16.161.64 	 colo=HKG
104.16.170.0 	 colo=HKG
104.16.161.128 	 colo=HKG
104.16.169.192 	 colo=HKG
104.16.169.64 	 colo=HKG
104.16.145.128 	 
104.16.171.0 	 colo=HKG
104.16.154.192 	 colo=HKG
104.16.146.64 	 
104.16.170.128 	 colo=HKG
104.16.171.192 	 colo=HKG
104.16.138.128 	 
104.16.171.128 	 colo=HKG
104.16.172.192 	 colo=HKG
104.16.168.128 	 colo=HKG
104.16.167.128 	 colo=HKG
104.16.173.128 	 colo=HKG
104.16.174.0 	 colo=HKG
104.16.174.128 	 colo=HKG
104.16.174.192 	 colo=HKG
104.16.147.192 	 
104.16.148.0 	 
104.16.173.64 	 colo=HKG
104.16.174.64 	 colo=HKG
104.16.140.192 	 
104.16.149.128 	 
104.16.176.0 	 colo=HKG
104.16.176.64 	 colo=HKG
104.16.166.64 	 colo=HKG
104.16.175.0 	 colo=HKG
104.16.173.192 	 colo=HKG
104.16.176.128 	 colo=HKG
104.16.175.64 	 colo=HKG
104.16.177.192 	 colo=HKG
104.16.152.0 	 
104.16.178.0 	 colo=HKG
104.16.176.192 	 colo=HKG
104.16.177.128 	 colo=HKG
104.16.177.64 	 colo=HKG
104.16.178.64 	 colo=HKG
104.16.179.128 	 colo=HKG
104.16.168.192 	 colo=HKG
104.16.172.64 	 colo=HKG
104.16.180.0 	 colo=HKG
104.16.178.192 	 colo=HKG
104.16.179.64 	 colo=HKG
104.16.182.64 	 colo=HKG
104.16.181.64 	 colo=HKG
104.16.155.128 	 
104.16.178.128 	 colo=HKG
104.16.182.192 	 colo=HKG
104.16.182.128 	 colo=HKG
104.16.170.192 	 colo=HKG
104.16.156.64 	 
104.16.162.128 	 colo=HKG
104.16.184.0 	 colo=HKG
104.16.172.128 	 colo=HKG
104.16.172.0 	 colo=HKG
104.16.183.64 	 colo=HKG
104.16.171.64 	 colo=HKG
104.16.158.128 	 
104.16.183.128 	 colo=HKG
104.16.173.0 	 colo=HKG
104.16.185.64 	 colo=HKG
104.16.185.192 	 colo=HKG
104.16.186.128 	 colo=HKG
104.16.186.0 	 colo=HKG
104.16.187.0 	 colo=HKG
104.16.175.192 	 colo=HKG
104.16.186.64 	 colo=HKG
104.16.148.64 	 
104.16.187.128 	 colo=HKG
104.16.184.192 	 colo=HKG
104.16.187.192 	 colo=HKG
104.16.188.64 	 colo=HKG
104.16.188.0 	 colo=HKG
104.16.177.0 	 colo=HKG
104.16.180.128 	 colo=HKG
104.16.183.192 	 colo=HKG
104.16.189.64 	 colo=HKG
104.16.189.192 	 colo=HKG
104.16.190.64 	 colo=HKG
104.16.188.192 	 colo=HKG
104.16.191.64 	 colo=HKG
104.16.161.192 	 
104.16.183.0 	 colo=HKG
104.16.181.128 	 colo=HKG
104.16.192.64 	 colo=HKG
104.16.162.192 	 
104.16.192.128 	 colo=HKG
104.16.192.0 	 colo=HKG
104.16.190.0 	 colo=HKG
104.16.188.128 	 colo=HKG
104.16.191.192 	 colo=HKG
104.16.193.192 	 colo=HKG
104.16.184.64 	 colo=HKG
104.16.194.64 	 colo=HKG
104.16.194.192 	 colo=HKG
104.16.165.64 	 
104.16.195.0 	 colo=HKG
104.16.165.128 	 
104.16.195.128 	 colo=HKG
104.16.193.0 	 colo=HKG
104.16.196.0 	 colo=HKG
104.16.168.0 	 colo=HKG
104.16.196.64 	 colo=HKG
104.16.197.0 	 colo=HKG
104.16.197.128 	 colo=HKG
104.16.189.128 	 colo=HKG
104.16.189.0 	 colo=HKG
104.16.193.128 	 colo=HKG
104.16.190.192 	 colo=HKG
104.16.198.64 	 colo=HKG
104.16.170.64 	 
104.16.197.192 	 colo=HKG
104.16.194.0 	 colo=HKG
104.16.198.192 	 colo=HKG
104.16.199.0 	 colo=HKG
104.16.199.128 	 colo=HKG
104.16.200.0 	 colo=HKG
104.16.191.0 	 colo=HKG
104.16.200.128 	 colo=HKG
104.16.200.192 	 colo=HKG
104.16.200.64 	 colo=HKG
104.16.184.128 	 colo=HKG
104.16.175.128 	 
104.16.194.128 	 colo=HKG
104.16.187.64 	 colo=HKG
104.16.165.192 	 
104.16.195.192 	 colo=HKG
104.16.179.0 	 
104.16.202.192 	 colo=HKG
104.16.179.192 	 
104.16.180.64 	 
104.16.203.128 	 colo=HKG
104.16.181.0 	 
104.16.203.192 	 colo=HKG
104.16.196.192 	 colo=HKG
104.16.181.192 	 
104.16.180.192 	 
104.16.182.0 	 
104.16.204.0 	 colo=HKG
104.16.204.64 	 colo=HKG
104.16.203.0 	 colo=HKG
104.16.198.0 	 colo=HKG
104.16.198.128 	 colo=HKG
104.16.205.64 	 colo=HKG
104.16.205.192 	 colo=HKG
104.16.206.64 	 colo=HKG
104.16.206.192 	 colo=HKG
104.16.191.128 	 colo=HKG
104.16.207.128 	 colo=HKG
104.16.207.64 	 colo=HKG
104.16.208.0 	 colo=HKG
104.16.192.192 	 colo=HKG
104.16.207.192 	 colo=HKG
104.16.201.64 	 colo=HKG
104.16.209.128 	 colo=HKG
104.16.206.128 	 colo=HKG
104.16.205.0 	 colo=HKG
104.16.208.64 	 colo=HKG
104.16.185.0 	 
104.16.208.128 	 colo=HKG
104.16.185.128 	 
104.16.209.64 	 colo=HKG
104.16.208.192 	 colo=HKG
104.16.209.192 	 colo=HKG
104.16.201.0 	 colo=HKG
104.16.186.192 	 
104.16.212.64 	 colo=HKG
104.16.212.128 	 colo=HKG
104.16.202.0 	 colo=HKG
104.16.210.0 	 colo=HKG
104.16.213.64 	 colo=HKG
104.16.212.192 	 colo=HKG
104.16.213.128 	 colo=HKG
104.16.213.192 	 colo=HKG
