SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.112.64 	 colo=SJC
172.64.111.0 	 colo=LAX
172.64.112.128 	 colo=SJC
172.64.112.0 	 colo=LAX
172.64.112.192 	 colo=SJC
172.64.113.0 	 colo=LAX
172.64.113.64 	 colo=LAX
172.64.114.0 	 colo=SJC
172.64.114.128 	 colo=SJC
172.64.114.64 	 colo=SJC
172.64.114.192 	 colo=LAX
172.64.113.192 	 colo=LAX
172.64.113.128 	 colo=LAX
172.64.115.0 	 colo=LAX
172.64.115.128 	 colo=LAX
172.64.115.64 	 colo=LAX
172.64.116.0 	 colo=SJC
172.64.115.192 	 colo=SJC
172.64.116.64 	 colo=SJC
172.64.116.128 	 colo=LAX
172.64.116.192 	 colo=LAX
172.64.117.128 	 colo=LAX
172.64.117.64 	 colo=LAX
172.64.117.0 	 colo=SJC
172.64.117.192 	 colo=LAX
172.64.118.192 	 colo=LAX
172.64.118.0 	 colo=LAX
172.64.119.0 	 colo=SJC
172.64.118.128 	 colo=LAX
172.64.119.128 	 colo=SJC
172.64.120.0 	 colo=LAX
172.64.120.192 	 colo=SJC
172.64.119.192 	 colo=SJC
172.64.120.64 	 colo=SJC
172.64.120.128 	 colo=LAX
172.64.118.64 	 colo=SJC
172.64.119.64 	 colo=SJC
172.64.121.64 	 colo=SJC
172.64.121.0 	 colo=LAX
172.64.121.128 	 colo=LAX
172.64.121.192 	 colo=SJC
172.64.122.0 	 colo=SJC
172.64.122.192 	 colo=SJC
172.64.122.128 	 colo=SJC
172.64.122.64 	 colo=LAX
172.64.123.0 	 colo=LAX
172.64.124.64 	 colo=SJC
172.64.123.192 	 colo=SJC
172.64.123.128 	 colo=LAX
172.64.123.64 	 colo=LAX
172.64.124.0 	 colo=SJC
172.64.124.128 	 colo=LAX
172.64.125.192 	 colo=SJC
172.64.125.64 	 colo=LAX
172.64.124.192 	 colo=LAX
172.64.125.0 	 colo=LAX
172.64.125.128 	 colo=LAX
172.64.126.0 	 colo=LAX
172.64.126.192 	 colo=LAX
172.64.126.64 	 colo=SJC
172.64.127.0 	 colo=SJC
172.64.126.128 	 colo=LAX
172.64.127.64 	 colo=SJC
172.64.128.0 	 colo=SJC
172.64.127.192 	 colo=SJC
172.64.127.128 	 colo=SJC
172.64.128.192 	 colo=LAX
172.64.128.64 	 colo=LAX
172.64.128.128 	 colo=LAX
172.64.129.0 	 colo=LAX
172.64.129.64 	 colo=LAX
172.64.129.128 	 colo=LAX
172.64.130.64 	 colo=SJC
172.64.129.192 	 colo=SJC
172.64.130.0 	 colo=SJC
172.64.130.128 	 colo=LAX
172.64.131.0 	 colo=LAX
172.64.130.192 	 colo=SJC
172.64.131.64 	 colo=SJC
172.64.131.128 	 colo=LAX
172.64.132.64 	 colo=LAX
172.64.132.128 	 colo=LAX
172.64.133.64 	 colo=LAX
172.64.132.0 	 colo=LAX
172.64.131.192 	 colo=SJC
172.64.132.192 	 colo=LAX
172.64.133.128 	 colo=LAX
172.64.133.0 	 colo=LAX
172.64.133.192 	 colo=LAX
172.64.134.192 	 colo=SJC
172.64.134.0 	 colo=SJC
